DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State
194,SIMPLE PNEUMONIA & PLEURISY W CC,MS,Tupelo,MS - Tupelo,20,20441.6,6186.45,5241.45,6,8,South,South - East South Central,Mississippi
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,38,17071.66,6047.95,5044.16,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,37,69427.97,5032.27,4136.49,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,22,7307.36,5880.45,4914.82,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,22,41550.86,5195.5,3953.32,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,34,6846.29,5475.59,4487.94,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,74,37725.68,5485.28,4111.97,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,64,26853.55,5588.7,3518.73,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,23,10069.13,6152.26,5281.48,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,23,13911.52,6342.22,5148.48,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,92,15291.16,5485.17,4573.3,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,25,9979.28,5763.52,4771.36,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,35,12140.6,5383.0,4349.06,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Dothan,AL - Dothan,28,19701.79,6870.32,4798.71,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,15,16771.8,6197.6,5117.33,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,50,29972.66,5394.96,3966.88,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,59,14995.31,5977.39,4710.14,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,45,49177.36,5395.24,4313.91,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,96,11403.23,5232.56,4118.49,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,53,26827.51,5102.87,4028.96,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,74,26588.51,5669.7,4565.34,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,101,19590.04,5592.2,4226.84,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,11,7392.36,5396.73,4606.91,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,226,24942.29,6256.66,4929.11,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,21,8334.76,6941.1,5929.48,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,17,8211.0,6316.76,5136.06,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,34,14054.12,5778.94,4936.94,7,9,South,South Atlantic,Florida
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,45,17720.18,6476.87,3131.98,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,21,23632.86,6225.43,5455.9,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,50,40071.96,6256.44,5008.26,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,23,63028.57,6149.26,5172.74,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,58,23257.74,5326.4,3913.95,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Tuscaloosa,AL - Tuscaloosa,13,9470.54,8887.15,7831.15,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,22,12132.36,5799.55,4831.91,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,113,19110.88,5729.37,4410.95,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,34,27802.0,5731.41,4742.47,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,24,25752.13,6311.13,5433.29,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,45,13388.38,5879.82,4868.51,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,277,26017.48,5780.8,4696.31,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,15,11978.53,4996.27,4333.07,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,19,13332.79,6346.58,5327.95,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,41,29034.37,5025.8,3994.88,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Huntsville,AL - Huntsville,79,42230.78,5241.92,3915.63,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,85,75998.31,5576.67,4329.92,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Mobile,AL - Mobile,56,15110.02,5126.71,4146.93,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,17,25278.88,6458.65,3825.41,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,20,11319.0,5316.75,3977.55,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,56,23814.82,6675.63,5229.55,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Montgomery,AL - Montgomery,17,51757.53,6160.29,4876.82,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,19,18513.16,4577.84,3725.0,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,90,31068.28,5741.31,4487.33,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,AL,Birmingham,AL - Birmingham,65,35297.28,5618.23,4431.86,5,7,South,South - East South Central,Alabama
194,SIMPLE PNEUMONIA & PLEURISY W CC,FL,Pensacola,FL - Pensacola,23,21783.22,5457.48,4189.3,7,9,South,South Atlantic,Florida
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,43,49105.95,10041.79,8844.79,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,48,39802.15,10140.02,8551.04,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,18,33020.72,11634.06,10114.83,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,24,26197.08,13533.67,11918.04,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,29,16371.31,13216.55,12229.38,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,31,32461.1,7833.9,6862.71,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AK,Anchorage,AK - Anchorage,20,27870.9,12641.9,10860.4,1,1,West,Pacific,Alaska
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,19,27387.42,9428.63,6770.16,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,69,23912.72,7104.97,5888.16,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,20,42601.3,9527.35,7588.3,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,33,27531.48,6233.12,5289.24,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,55,25561.45,5993.0,4962.76,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,60,24725.58,5934.17,4615.53,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,102,23344.32,6852.75,5785.73,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,44,42826.2,6467.32,5547.27,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,32,27167.69,10040.91,8019.0,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,28,29989.11,7715.11,6864.82,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,71,38956.17,7028.86,6008.24,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,12,35930.25,7364.25,6122.58,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,85,40209.47,6933.52,5399.27,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,36,22113.72,8064.11,6706.53,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,71,29895.66,7072.38,6073.24,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Sun City,AZ - Sun City,79,31695.87,5755.43,4748.9,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,33,18999.64,8367.52,7195.88,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,47,28147.51,10185.94,7903.64,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,43,30266.33,7978.35,6906.79,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,20,17846.0,10408.75,9533.35,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,45,35858.6,7309.64,5310.64,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,23,10535.65,12200.13,11166.91,5,4,West,Mountain,New Mexico
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,12,9237.42,11519.0,10266.33,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,18,22863.44,7201.0,5566.22,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,NM,Albuquerque,NM - Albuquerque,16,10277.75,11169.5,10387.5,5,4,West,Mountain,New Mexico
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,64,38987.41,6249.2,5256.83,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,137,38754.35,5902.8,4424.07,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,129,33621.57,5726.85,4625.82,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,48,32453.38,7946.08,6284.23,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,31,33538.32,6377.45,5411.9,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Sun City,AZ - Sun City,60,35930.5,6363.1,4874.73,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,41,24287.1,7422.78,6220.24,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,41,86050.63,6342.59,5524.8,4,3,West,Mountain,Nevada
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,65,21190.86,8849.06,5085.05,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,39,23483.44,7059.31,5852.74,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,13,18043.54,10009.38,8846.92,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Tucson,AZ - Tucson,54,31156.87,5325.41,4119.54,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,35,29153.0,8068.37,6591.57,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,NV,Las Vegas,NV - Las Vegas,28,45579.75,5896.68,4401.18,4,3,West,Mountain,Nevada
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,27,19206.81,6698.48,5564.93,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,64,40082.16,6683.63,5517.2,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,38,36578.66,6949.13,5661.45,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,30,28878.93,7271.63,5286.43,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Phoenix,AZ - Phoenix,48,36231.17,5752.54,4479.6,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,25,42031.48,7546.96,6666.44,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AZ,Mesa,AZ - Mesa,11,38226.45,5459.45,4436.55,5,3,West,Mountain,Arizona
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,36,37016.92,6474.17,5130.56,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,57,8394.49,6324.88,5178.81,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,50,28597.62,6157.76,4461.46,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,90,20182.08,5794.86,4613.2,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,54,19524.57,5526.81,4365.89,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,42,6815.55,5358.19,4498.67,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,151,18153.81,5537.86,4364.58,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,42,12495.1,6453.21,5388.05,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,117,22344.84,10322.86,7907.28,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,38,17713.42,5497.66,4706.5,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,13,35169.46,5266.0,4206.62,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,22,24086.05,7340.45,6177.0,5,8,South,South - East South Central,Tennessee
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,75,8589.87,5843.0,4906.0,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Springdale,AR - Springdale,79,44058.86,6220.57,5258.01,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,135,23523.77,5427.89,4521.7,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,MO,Springfield,MO - Springfield,86,11386.71,5196.01,4222.06,4,6,Midwest,Midwest-West North Central,Missouri
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,86,15258.78,5493.7,4463.19,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,72,13835.57,5274.08,4184.15,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,48,22154.5,5398.98,4308.4,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,24,22666.92,5831.88,4744.04,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,16,9267.13,5659.31,4880.06,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,34,19084.53,5983.12,4759.12,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,70,8927.03,5741.04,4658.17,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,87,22651.41,5643.15,4581.69,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Fort Smith,AR - Fort Smith,78,19227.4,5915.47,4841.06,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,42,12272.76,7592.81,5849.6,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,25,15177.96,7644.52,5943.48,5,8,South,South - East South Central,Tennessee
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,91,32617.45,6926.18,5389.75,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,20,9959.95,6371.55,5252.95,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,33,20090.91,5130.12,4246.39,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,25,11536.04,5712.76,4335.44,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,45,44402.58,5616.91,4483.56,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,13,25946.38,5855.46,5190.54,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,40,14258.63,5302.5,4221.4,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,TN,Memphis,TN - Memphis,17,40972.47,6237.76,5358.71,5,8,South,South - East South Central,Tennessee
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,32,46676.97,6043.22,4466.31,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,106,21572.95,6232.84,4568.09,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Jonesboro,AR - Jonesboro,98,24642.6,5226.51,4018.0,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,51,21310.88,5699.2,4845.71,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,18,15150.56,4950.39,3910.17,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,AR,Little Rock,AR - Little Rock,15,22410.6,5177.8,3936.53,5,6,South,South - West South Central,Arkansas
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Alameda County,CA - Alameda County,23,90027.48,10375.17,9666.83,5,2,West,Pacific,California
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Redding,CA - Redding,29,39098.48,7878.93,6810.93,5,2,West,Pacific,California
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,San Mateo County,CA - San Mateo County,55,43325.8,8541.4,7520.09,5,2,West,Pacific,California
194,SIMPLE PNEUMONIA & PLEURISY W CC,CA,Napa,CA - Napa,51,48607.94,8995.2,7145.14,5,2,West,Pacific,California
